type,seed,num_inserts,seg_size
in_place,1,0,5881
in_place,1,5000,3712
in_place,1,10000,2848
in_place,1,15000,2440
in_place,1,20000,2055
in_place,1,25000,1901
in_place,1,30000,1743
in_place,1,35000,1592
in_place,1,40000,1499
in_place,1,45000,1379
in_place,1,50000,1306
in_place,1,55000,1249
in_place,1,60000,1193
in_place,1,65000,1152
in_place,1,70000,1104
in_place,1,75000,1056
in_place,1,80000,1028
in_place,1,85000,991
in_place,1,90000,970
in_place,1,95000,954
in_place,1,100000,937
out_of_place,1,0,5881
out_of_place,1,5000,5881
out_of_place,1,10000,5758
out_of_place,1,15000,5294
out_of_place,1,20000,4661
out_of_place,1,25000,4304
out_of_place,1,30000,3945
out_of_place,1,35000,3650
out_of_place,1,40000,3360
out_of_place,1,45000,3130
out_of_place,1,50000,2979
out_of_place,1,55000,2905
out_of_place,1,60000,2806
out_of_place,1,65000,2675
out_of_place,1,70000,2662
out_of_place,1,75000,2580
out_of_place,1,80000,2490
out_of_place,1,85000,2460
out_of_place,1,90000,2406
out_of_place,1,95000,2346
out_of_place,1,100000,2304
in_place,2,0,7041
in_place,2,5000,3914
in_place,2,10000,2982
in_place,2,15000,2417
in_place,2,20000,2113
in_place,2,25000,1944
in_place,2,30000,1778
in_place,2,35000,1587
in_place,2,40000,1455
in_place,2,45000,1404
in_place,2,50000,1367
in_place,2,55000,1327
in_place,2,60000,1272
in_place,2,65000,1241
in_place,2,70000,1217
in_place,2,75000,1182
in_place,2,80000,1164
in_place,2,85000,1140
in_place,2,90000,1090
in_place,2,95000,1031
in_place,2,100000,970
out_of_place,2,0,7041
out_of_place,2,5000,7041
out_of_place,2,10000,6855
out_of_place,2,15000,5953
out_of_place,2,20000,5545
out_of_place,2,25000,5007
out_of_place,2,30000,4443
out_of_place,2,35000,4073
out_of_place,2,40000,4031
out_of_place,2,45000,3888
out_of_place,2,50000,3644
out_of_place,2,55000,3525
out_of_place,2,60000,3503
out_of_place,2,65000,3447
out_of_place,2,70000,3314
out_of_place,2,75000,3232
out_of_place,2,80000,3182
out_of_place,2,85000,3043
out_of_place,2,90000,2993
out_of_place,2,95000,2921
out_of_place,2,100000,2883
in_place,3,0,6492
in_place,3,5000,4072
in_place,3,10000,3311
in_place,3,15000,2783
in_place,3,20000,2385
in_place,3,25000,2142
in_place,3,30000,1892
in_place,3,35000,1753
in_place,3,40000,1661
in_place,3,45000,1539
in_place,3,50000,1451
in_place,3,55000,1350
in_place,3,60000,1287
in_place,3,65000,1247
in_place,3,70000,1212
in_place,3,75000,1154
in_place,3,80000,1106
in_place,3,85000,1065
in_place,3,90000,1024
in_place,3,95000,1006
in_place,3,100000,988
out_of_place,3,0,6492
out_of_place,3,5000,6492
out_of_place,3,10000,6334
out_of_place,3,15000,5419
out_of_place,3,20000,4803
out_of_place,3,25000,4285
out_of_place,3,30000,4138
out_of_place,3,35000,3813
out_of_place,3,40000,3627
out_of_place,3,45000,3381
out_of_place,3,50000,3207
out_of_place,3,55000,3153
out_of_place,3,60000,3030
out_of_place,3,65000,2952
out_of_place,3,70000,2847
out_of_place,3,75000,2696
out_of_place,3,80000,2721
out_of_place,3,85000,2686
out_of_place,3,90000,2633
out_of_place,3,95000,2540
out_of_place,3,100000,2512
