name,data_size,seed,run,tree_shape,read_profile,split_history
out_place_n0,1000000,1,0,47#1,928#0#0,@,
out_place_n0,1100000,1,0,330#12#1,1857#5#0,743#144#6@30932830#23073#55,
out_place_n0,1200000,1,0,477#26#1,2780#12#0,1500#219#16@57181894#28771#258,
out_place_n0,1300000,1,0,615#31#1,3697#19#0,2264#290#20@82461175#33819#380,
out_place_n0,1400000,1,0,771#50#1,4610#34#0,3015#369#35@106780049#39331#1016,
out_place_n0,1500000,1,0,871#72#1,5531#42#0,3782#420#52@130120648#42495#2097,
out_place_n0,1600000,1,0,979#79#1,6462#52#0,4536#474#58@152641862#45331#2560,
out_place_n0,1700000,1,0,1081#80#1,7375#62#0,5301#526#59@175648346#48345#2641,
out_place_n0,1800000,1,0,1171#101#1,8285#73#0,6065#573#77@198953101#51514#4295,
out_place_n0,1900000,1,0,1247#121#1,9180#86#11,6827#611#92@221674764#54013#5972,
out_place_n0,2000000,1,0,1342#137#1,10059#105#44,7584#661#107@242440353#56585#7929,
out_place_n2,1000000,1,0,47#1,923#0#0,@,
out_place_n2,1100000,1,0,70#1,1863#3#0,494#220@45356963#14441,
out_place_n2,1200000,1,0,72#1,2800#4#0,997#449@91064010#31207,
out_place_n2,1300000,1,0,89#1,3698#6#33,1500#677@135818407#49978,
out_place_n2,1400000,1,0,75#1,4617#7#35,2008#899@181599501#68227,
out_place_n2,1500000,1,0,106#1,5551#8#37,2516#1124@228047551#89422,
out_place_n2,1600000,1,0,118#3#1,6479#10#39,3045#1362#12@274758409#116648#56,
out_place_n2,1700000,1,0,124#4#1,7383#11#69,3565#1580#67@321663606#139767#340,
out_place_n2,1800000,1,0,131#3#1,8276#12#87,4077#1792#119@370321551#161171#598,
out_place_n2,1900000,1,0,148#4#1,9198#15#92,4582#2007#161@419147530#184257#804,
out_place_n2,2000000,1,0,158#5#1,10100#17#118,5103#2243#220@467455490#212105#1083,
out_place_n8,1000000,1,0,47#1,941#0#0,@,
out_place_n8,1100000,1,0,51#1,1871#2#0,212#97@60847782#5163,
out_place_n8,1200000,1,0,52#1,2799#2#0,427#191@128684118#10264,
out_place_n8,1300000,1,0,59#1,3725#4#0,641#284@198855447#15472,
out_place_n8,1400000,1,0,53#1,4662#4#0,872#390@274907564#21688,
out_place_n8,1500000,1,0,66#1,5584#5#0,1097#496@356000891#28056,
out_place_n8,1600000,1,0,63#1,6509#9#0,1311#597@433556982#34639,
out_place_n8,1700000,1,0,65#1,7449#10#0,1534#695@513852646#41212,
out_place_n8,1800000,1,0,76#1,8386#12#0,1773#804@601029582#48836,
out_place_n8,1900000,1,0,75#1,9326#14#0,1996#901@680769255#56045,
out_place_n8,2000000,1,0,82#1,10249#15#0,2218#1001@761600002#64200,
out_place_n0,1000000,2,0,41#1,930#0#0,@,
out_place_n0,1100000,2,0,293#22#1,1830#2#30,756#130#14@37471596#9836#203,
out_place_n0,1200000,2,0,416#51#1,2693#7#102,1519#193#41@68368228#12918#1241,
out_place_n0,1300000,2,0,516#75#1,3549#14#173,2285#244#63@97492102#14944#2655,
out_place_n0,1400000,2,0,658#98#6#1,4374#24#284,3042#317#84#4@125675650#18016#4465#22,
out_place_n0,1500000,2,0,751#113#9#1,5244#29#350,3802#364#97#7@152271892#19906#5770#49,
out_place_n0,1600000,2,0,884#146#9#1,6097#34#423,4559#433#128#7@177986071#23164#9568#49,
out_place_n0,1700000,2,0,997#164#9#1,6939#40#513,5314#493#145#7@202575088#25321#12091#49,
out_place_n0,1800000,2,0,1124#195#14#1,7794#54#577,6079#558#172#11@225934107#28492#15188#103,
out_place_n0,1900000,2,0,1210#207#21#1,8636#65#659,6838#602#183#18@246933255#30678#16087#236,
out_place_n0,2000000,2,0,1280#213#21#1,9450#77#766,7588#637#188#18@267294903#32238#16593#236,
out_place_n2,1000000,2,0,41#1,930#0#0,@,
out_place_n2,1100000,2,0,62#1,1872#0#0,511#246@52462770#12377,
out_place_n2,1200000,2,0,69#1,2795#0#0,1037#503@106784794#27776,
out_place_n2,1300000,2,0,64#1,3710#0#3,1565#760@158973357#45194,
out_place_n2,1400000,2,0,72#1,4637#2#3,2087#1013@208850725#63059,
out_place_n2,1500000,2,0,68#1,5585#2#3,2604#1252@262023608#79786,
out_place_n2,1600000,2,0,79#1,6516#3#3,3121#1496@314779533#98248,
out_place_n2,1700000,2,0,90#1,7440#4#3,3648#1749@370877155#118587,
out_place_n2,1800000,2,0,98#1,8377#4#4,4172#1997@424820805#142478,
out_place_n2,1900000,2,0,106#1,9290#4#7,4682#2238@481195111#165736,
out_place_n2,2000000,2,0,113#1,10199#6#28,5221#2487@540618185#191970,
out_place_n8,1000000,2,0,41#1,935#0#0,@,
out_place_n8,1100000,2,0,42#1,1871#0#0,221#104@74919408#4547,
out_place_n8,1200000,2,0,51#1,2812#0#0,447#205@155694931#9370,
out_place_n8,1300000,2,0,55#1,3759#1#0,660#298@227167511#14355,
out_place_n8,1400000,2,0,59#1,4686#1#1,868#387@296613038#19681,
out_place_n8,1500000,2,0,63#1,5642#1#1,1083#494@372611597#26362,
out_place_n8,1600000,2,0,71#1,6570#1#2,1313#597@450353285#33430,
out_place_n8,1700000,2,0,70#1,7507#1#2,1540#718@530802837#41879,
out_place_n8,1800000,2,0,81#1,8448#1#3,1751#821@611024405#49333,
out_place_n8,1900000,2,0,68#1,9375#1#3,1956#914@692773385#56115,
out_place_n8,2000000,2,0,77#1,10304#2#3,2179#1012@782375570#63725,
out_place_n0,1000000,3,0,41#1,937#0#0,@,
out_place_n0,1100000,3,0,364#14#1,1879#4#0,748#164#6@36634931#20025#61,
out_place_n0,1200000,3,0,547#44#1,2803#11#0,1507#258#31@67122584#25664#827,
out_place_n0,1300000,3,0,728#66#1,3725#19#0,2261#351#49@95624133#30654#1849,
out_place_n0,1400000,3,0,801#81#1,4654#28#0,3012#388#63@121571680#32233#2900,
out_place_n0,1500000,3,0,954#98#1,5567#41#1,3781#468#78@146396042#35987#4265,
out_place_n0,1600000,3,0,1039#116#1,6479#51#2,4546#512#95@170329016#38097#6111,
out_place_n0,1700000,3,0,1096#134#1,7403#61#3,5309#541#112@194034672#39696#8270,
out_place_n0,1800000,3,0,1216#145#1,8324#74#3,6070#603#122@217677280#43146#9680,
out_place_n0,1900000,3,0,1285#150#1,9248#88#4,6826#639#127@241246863#45042#10425,
out_place_n0,2000000,3,0,1380#171#9#1,10147#101#4,7598#687#148#5@263227406#47621#12964#40,
out_place_n2,1000000,3,0,41#1,936#0#0,@,
out_place_n2,1100000,3,0,66#1,1852#1#21,508#245@50377912#14418,
out_place_n2,1200000,3,0,83#1,2744#3#43,1028#500@100000573#32476,
out_place_n2,1300000,3,0,86#1,3643#5#74,1544#754@145704432#53885,
out_place_n2,1400000,3,0,75#1,4532#6#102,2068#1002@190080721#74467,
out_place_n2,1500000,3,0,89#1,5437#9#121,2597#1262@238394975#97613,
out_place_n2,1600000,3,0,97#1,6348#14#135,3121#1504@286214595#121706,
out_place_n2,1700000,3,0,102#1,7280#16#149,3659#1760@334514726#149302,
out_place_n2,1800000,3,0,125#2#1,8175#21#179,4192#2025#27@381743787#179688#125,
out_place_n2,1900000,3,0,134#4#1,9076#23#215,4733#2272#74@431609340#205783#334,
out_place_n2,2000000,3,0,165#3#1,9984#25#236,5260#2530#109@478817134#238325#489,
out_place_n8,1000000,3,0,41#1,925#0#0,@,
out_place_n8,1100000,3,0,49#1,1849#1#0,220#99@73967400#4751,
out_place_n8,1200000,3,0,53#1,2785#3#0,443#199@153983003#9686,
out_place_n8,1300000,3,0,59#1,3696#5#0,675#304@232450218#15611,
out_place_n8,1400000,3,0,55#1,4623#5#0,883#401@304848811#21418,
out_place_n8,1500000,3,0,60#1,5552#6#0,1092#500@379333522#27650,
out_place_n8,1600000,3,0,65#1,6489#6#0,1295#589@450644308#33640,
out_place_n8,1700000,3,0,72#1,7432#7#0,1496#682@522219001#40251,
out_place_n8,1800000,3,0,78#1,8354#10#0,1704#781@595254318#47883,
out_place_n8,1900000,3,0,80#1,9297#11#0,1915#878@674297116#55141,
out_place_n8,2000000,3,0,83#1,10224#11#0,2138#983@755905018#63549,
